rrq4k/6p1/2N4p/8/6R1/5n2/4K3/1B6 b - - acn 2939550; acs 5; bm Qxg4 Rb2+ Rxb1; ce 32756; dm 6; pv Rb2+ Bc2 Rxc2+ Ke3 Ra3+ Kf4 Qc7+ Ke4 Rc4+ Nd4 Qe5#;
rrn1Kb2/R1ppppp1/1p6/p7/8/3P1P2/PPPRPP1P/1qk2b2 b - - acn 592969; acs 1; bm Kxd2 Qxb2; ce 32756; dm 6; pv Qxb2 Rd1+ Kxd1 c4 Nxa7+ Kxf7 Qf6+ Kg8 g6 h3 Qg7#;
rrk5/1n3p2/2p2b2/B2R1p2/6p1/1K6/8/7b b - - acn 669315; acs 1; bm Be4 Bxd5+ Nc5+ Nd6+ Nxa5+ cxd5; ce 32756; dm 6; pv Nxa5+ Kc2 Rb2+ Kd3 cxd5 Ke3 Be5 Kd3 Be4+ Ke3 f4#;
rrb5/bkPp4/1p1p1P2/pP1NpPp1/P3P1Q1/2pP4/4BBP1/2KR4 w - - acn 3414131; acs 5; bm Rh1; ce 32756; dm 6; pv Rh1 c2 Bd1 cxd1=Q+ Qxd1 g4 Qg1 g3 Bxb6 Bxb6 Qxb6#;
rrb4Q/p4kn1/3pp1p1/1pq3B1/3NP3/1PN2P2/1PP3P1/1K5R w - - acn 2582240; acs 4; bm Bf6; ce 32756; dm 6; pv Bf6 Kxf6 Qf8+ Kg5 Qd8+ Kf4 Qh4+ Ke3 Re1+ Kd2 Re2#;
rrNNbn2/PPknpR1p/7P/1q6/8/4P3/K4B2/4R1b1 b - - acn 206604; acs 0; bm Kxd8; ce 32756; dm 6; pv Kxd8 Bh4 Qc4+ Ka3 Qc3+ Ka2 Bxf7+ Kb1 Rxb7+ Nb6 Rxb6#;
rrBb4/3P1pp1/q3k1b1/1P1p4/8/8/4N1pK/8 b - - acn 796946; acs 2; bm Qa1 Qa2 Qa4 Qb6 Qd6+; ce 32756; dm 6; pv Qd6+ Kxg2 Be4+ Kf2 Qc5+ Nd4+ Qxd4+ Ke2 Ra2+ Ke1 Qg1#;
rr6/bp4np/5Pkp/8/3B2K1/8/8/8 b - - acn 267567; acs 1; bm Bxd4; ce 32756; dm 6; pv Bxd4 f7 Ra3 Kf4 Re3 f8=N+ Rxf8+ Kg4 h5+ Kh4 Nf5#;
rr6/Q4q2/8/2P5/2p4p/RP5P/1pP1p1k1/1K2BN2 b - - acn 143331; acs 0; bm exf1=Q; ce 32756; dm 6; pv exf1=Q Qxa8+ Rxa8 Ra4 Qxe1+ Kxb2 Qg7+ c3 Qexc3+ Ka2 Qa1#;
rr6/5Q2/3p3k/3Pp2p/bn2P2P/R5P1/1q3P1K/8 w - - acn 32377; acs 0; bm Rf3; ce 32756; dm 6; pv Rf3 Qxf2+ Rxf2 Nxd5 Qe6+ Nf6 Rxf6+ Kh7 Qf7+ Kh8 Rh6#;
rr6/2q1bBk1/p1bp1np1/4p3/P3P3/2p3Q1/1PP3PP/R4R1K w - - acn 365012; acs 1; bm Qxg6+; ce 32756; dm 6; pv Qxg6+ Kh8 Rxf6 Bxe4 Qh5+ Bh7 Rh6 Kg7 Rxh7+ Kf6 Rf1#;
rr6/1p1p4/pN6/3Pp1p1/4k1B1/4P3/2P5/3KR1B1 w - - acn 386820; acs 1; bm Kd2; ce 32756; dm 6; pv Kd2 Rc8 Rf1 Rxc2+ Kxc2 Rc8+ Kd2 Rc2+ Kxc2 d6 Bf5#;
rr4k1/q7/2pP2Bp/p1b1BQp1/5n1N/P7/5PPP/3R2K1 w - - acn 372294; acs 1; bm d7; ce 32756; dm 6; pv d7 Ne2+ Kh1 Ng3+ fxg3 Qxd7 Qxd7 Be7 Qe6+ Kf8 Qf7#;
rr4k1/2p2ppp/5n2/4b3/1q1n2P1/1PNB3P/P1PB2Q1/2KR3R b - - acn 976543; acs 2; bm Rxa2; ce 32756; dm 6; pv Rxa2 Bxh7+ Nxh7 Nxa2 Nxb3+ cxb3 Qa3+ Kc2 Qxb3+ Kc1 Qb1#;
