rr6/PPPPkPP1/4P2B/5P2/8/1q5n/3K4/8 w - - acn 55674; acs 0; bm f8=Q+; ce 32754; dm 7; pv f8=Q+ Rxf8 gxf8=Q+ Rxf8 d8=Q+ Rxd8+ cxd8=Q+ Kxd8 b8=Q+ Qxb8 axb8=Q+ Ke7 Qf8#;
rr6/6B1/1p5p/P5PN/4k2p/4N2p/4PP1K/4R2b w - - acn 11928800; acs 32; bm Rd1; ce 32754; dm 7; pv Rd1 Rd8 Rb1 bxa5 Rb5 Re8 Nf6+ Kd4 Nxe8+ Ke4 Nd6+ Kf4 Rf5#;
rr6/4R3/8/3N3b/1p5p/PPpB4/1nPp1p2/1K1k2b1 w - - acn 858658; acs 2; bm Ne3+; ce 32754; dm 7; pv Ne3+ Ke1 Nc4+ Kd1 Nxb2+ cxb2 c3 Be2 Bxe2+ Ke1 Bg4+ Kf1 Bh3#;
rr6/2pkp1b1/p2p2p1/2Nn3p/3PQ2P/q1p1BP2/P1P3P1/K2R1B1R b - - acn 110381; acs 0; bm Kd8; ce 32754; dm 7; pv Kd8 Nb7+ Rxb7 Qxe7+ Nxe7 Bc1 Rb2 Bc4 Rab8 Bb3 R8xb3 g3 Rb1#;
rr5k/RR6/8/7K/8/8/8/8 w - - acn 123801; acs 0; bm Kh6; ce 32754; dm 7; pv Kh6 Kg8 Rg7+ Kf8 Raf7+ Ke8 Kh7 Rb6 Kg8 Rf6 Rxf6 Rb8 Rf8#;
rr5k/2q1bB2/p1bp1npB/4p3/P3P3/2p3Q1/1PP3PP/R4R1K w - - acn 6465599; acs 18; bm Bg7+; ce 32754; dm 7; pv Bg7+ Kxg7 Qxg6+ Kh8 Rxf6 Bxe4 Qh5+ Bh7 Rh6 Kg7 Rxh7+ Kf6 Rf1#;
rr4kb/4Pp2/7K/6B1/q3p1B1/2R5/P1R4n/Q7 w - - acn 356528; acs 1; bm Rc8+; ce 32754; dm 7; pv Rc8+ Rxc8 Qxh8+ Kxh8 Bf6+ Kg8 Rg2 e3 Bf5+ Ng4+ Rxg4+ Qxg4 Bh7#;
rr4k1/2p1Rp1n/p1Q4p/1p3P2/6PB/2P1p3/1q4P1/4R2K w - - acn 8126788; acs 16; bm Rxf7; ce 32754; dm 7; pv Rxf7 Qxg2+ Kxg2 Rb6 Qd7 Nf6 Rg7+ Kh8 Bxf6 h5 Rh7+ Kg8 Rh8#;
rr3rk1/pbppq1pp/1p2pb2/4N2Q/3PN3/3B4/PPP2PPP/R3K2R w KQ - acn 21463904; acs 52; bm Qxh7+; ce 32754; dm 7; pv Qxh7+ Kxh7 Nxf6+ Kh6 Neg4+ Kg5 h4+ Kf4 g3+ Kf3 Kf1 g6 Nh2#;
rr3k2/q2Q4/2pP2Bp/p1b1B1p1/5n1N/P7/5PPP/3R2K1 w - - acn 1124923; acs 3; bm Qf5+; ce 32754; dm 7; pv Qf5+ Kg8 d7 Ne2+ Kh1 Ng3+ fxg3 Qxd7 Qxd7 Be7 Qe6+ Kf8 Qf7#;
rr2R2Q/Pb3n2/2nP4/2k5/6K1/8/B1N4b/B3R3 w - - acn 3579819; acs 10; bm Qc3+; ce 32754; dm 7; pv Qc3+ Kxd6 Rd1+ Kc7 Re7+ Kb6 Rb1+ Ka6 Bc4+ Kxa7 Qe3+ Nd4 Bxd4#;
rqb4r/1p1n2pp/3bkp2/p2N3Q/8/3B4/PP3PPP/R1B3K1 w - - acn 8576571; acs 24; bm Bf5+; ce 32754; dm 7; pv Bf5+ Kxd5 Qf3+ Kc5 Be3+ Kb4 a3+ Kc4 b3+ Kc3 Bc5+ Kb2 Bd4#;
rq6/pp1r3k/5p2/7p/3PR3/6Q1/PP3P1K/6R1 w - - acn 1011258; acs 2; bm Re5; ce 32754; dm 7; pv Re5 Kh8 Rxh5+ Rh7 Rxh7+ Kxh7 f4 Qf8 Qg6+ Kh8 Qh5+ Qh6 Qxh6#;
