8/qkqqb2p/4n2P/1NRRqNQK/1B2b3/1QQQnQQP/4p2Q/qnqrr2B w - - acn 162473668; acs 265; bm Rxd7; ce 32752; dm 8; pv Rxd7 Nf4+ Qfxf4 Qxd7 Qfxe4+ Qed5 Qc7+ Qxc7 Rxc7+ Kb6 Qgxe3+ Bc5 Bxc5+ Qxc5 Nxa7#;
8/8/8/8/3Pk3/R7/R4r2/2N4K w - - acn 6426848; acs 5; bm Rxf2; ce 32752; dm 8; pv Rxf2 Kd5 Ra5+ Ke4 Re2+ Kxd4 Ra3 Kc4 Rd3 Kb4 Rc2 Ka4 Rb3 Ka5 Ra2#;
8/8/8/2k5/8/1Q6/4P3/5K2 w - - acn 2550972; acs 2; bm Qd3 Qe6 e4; ce 32752; dm 8; pv e4 Kc6 Qd5+ Kb6 e5 Ka6 e6 Kb6 e7 Ka6 e8=Q Kb6 Qed8+ Ka6 Q8a5#;
8/8/4N2p/8/8/6p1/5bR1/5K1k w - - acn 588597; acs 1; bm Ng7; ce 32752; dm 8; pv Ng7 Be1 Nf5 h5 Nxg3+ Bxg3 Rxg3 Kh2 Rf3 h4 Re3 h3 Rf3 Kh1 Rxh3#;
8/8/2pp4/2pk1P2/2p5/1pP1bN1p/1P1PPP1P/1B3K2 w - - acn 1276185; acs 3; bm Ke1; ce 32752; dm 8; pv Ke1 Bxd2+ Kf1 Be3 Kg1 Bxf2+ Kf1 Be3 Ke1 Bd2+ Kf2 Be3+ Kf1 Bf4 e4#;
8/3rp3/P4b1P/6p1/8/3p1QBk/1p3P2/nK6 w - - acn 3649880; acs 6; bm a7; ce 32752; dm 8; pv a7 Rxa7 h7 Ra8 Bb8+ Kh4 h8=Q+ Bxh8 Bg3+ Kh3 Bf4+ Kh4 Qg3+ Kh5 Qxg5#;
8/1pNB1pp1/pP4p1/2B5/1Pp1kPp1/3pP3/3P2P1/nb5K w - - acn 7296191; acs 9; bm Ne8; ce 32752; dm 8; pv Ne8 Kd5 Nd6 f5 Ne8 g5 Nc7+ Ke4 Bc8 gxf4 Bd6 fxe3 Bxb7+ Kd4 Ne6#;
2k5/8/2K5/2N5/2N5/5r2/8/2B5 w - - acn 3458480; acs 6; bm Nd6+; ce 32752; dm 8; pv Nd6+ Kb8 Nd7+ Ka7 Nb5+ Ka8 Bd2 Rc3+ Nxc3 Ka7 Nb5+ Ka8 Nb6+ Kb8 Bf4#;
2k5/2q2p2/8/3K1N2/5p2/8/8/4Q3 w - - acn 912672; acs 1; bm Nd6+; ce 32752; dm 8; pv Nd6+ Kb8 Qe8+ Ka7 Nb5+ Kb7 Nxc7 Kxc7 Qc6+ Kb8 Qb6+ Kc8 Kd6 f3 Qc7#;
2k5/2B2P2/1P1nb3/8/8/8/8/7K w - - acn 801469; acs 2; bm f8=Q+; ce 32752; dm 8; pv f8=Q+ Kb7 Qf3+ Ne4 Qxe4+ Kc8 Qxe6+ Kb7 Qd5+ Kc8 Bd8 Kb8 Qd7 Ka8 Qa7#;
2k5/1pp1K3/8/8/2R5/3B4/8/8 w - - acn 19022041; acs 33; bm Be4 Bf5+ Ra4 Rc1 Rc2 Rc3 Rc5 Rd4 Re4 Rf4 Rg4 Rh4; ce 32752; dm 8; pv Bf5+ Kb8 Kd7 c6 Be4 c5 Bc6 bxc6 Kxc6 Kc8 Rxc5 Kd8 Re5 Kc8 Re8#;
