rrb5/BRpp1p2/K1k1n2R/Pn1p1p2/BQ1p1P2/3P4/8/8 w - - acn 3; acs 0; bm Bxb5# Qc5#; ce 32766; dm 1; pv Bxb5#;
rrb5/BRpp1p2/K1k1n2R/Pn1p1p2/BQ1p1P2/3P4/8/8 b - - acn 2; acs 0; bm Bxb7# Rxa7#; ce 32766; dm 1; pv Bxb7#;
rrb5/1pp5/p5B1/2P1k1Pp/1nQp3P/B2PPR2/P2K4/RN6 w - - acn 1; acs 0; bm exd4#; ce 32766; dm 1; pv exd4#;
rrb4k/bp1pPQ2/1p1Pp2B/1Np1P3/2Np4/3Bp3/8/R5KR w - - acn 11; acs 0; bm Bf4# Bf8# Bg5# Bg7# Bxe3# Qe8# Qf8# Qg7# Qh7# e8=Q# e8=R#; ce 32766; dm 1; pv e8=Q#;
rrb4N/bp1Qp2p/1p2p2P/1K3kPp/1PP2p2/3N1P1P/8/8 b - - acn 1; acs 0; bm Bxd7#; ce 32766; dm 1; pv Bxd7#;
rrb4N/bp1Qp2p/1p2p2P/1K3kPp/1PP2p1P/3N1P2/8/8 b - - acn 1; acs 0; bm Bxd7#; ce 32766; dm 1; pv Bxd7#;
rrb4K/bp6/PP5k/6RP/3p3P/8/4B3/7N w - - acn 1; acs 0; bm Rg6#; ce 32766; dm 1; pv Rg6#;
rrb4K/1p3pN1/R4NPk/2Q3q1/8/8/8/bBB5 w - - acn 3; acs 0; bm Bxg5# Ng8# Qxg5#; ce 32766; dm 1; pv Ng8#;
rrb4B/np1p4/1NpPp3/1p2Q3/1R2B3/P3k3/PK4R1/8 w - - acn 7; acs 0; bm Qg3# Qg5# Rb3#; ce 32766; dm 1; pv Rb3#;
rrb3Q1/pp2B3/1p1P4/4k3/3N1N1R/1P2P3/KP6/1BR3n1 w - - acn 5; acs 0; bm Nd3# Ng6# Qd5# Qg7# Qh8#; ce 32766; dm 1; pv Nd3#;
rrb3Q1/4b3/7k/2pPNP2/1p1P3p/RN2K2P/1B4P1/5BR1 w - - acn 2; acs 0; bm Qg6#; ce 32766; dm 1; pv Qg6#;
rrb2Q2/RP1k3K/6RP/NN1B4/7P/8/5P2/8 w - - acn 12; acs 0; bm Bc6# Be6# Rd6# Rg7# bxc8=B# bxc8=Q#; ce 32766; dm 1; pv bxc8=Q#;
rrb2Q2/NP1k3K/2R4P/B1P1P3/1R6/5B1N/8/8 w - - acn 8; acs 0; bm Bg4# Qd8# Qf7# Rd4# Rd6# e6#; ce 32766; dm 1; pv e6#;
rrb2KRq/pppk3p/2p5/Q2PPp2/2PRP2B/1N4PB/1P3PP1/8 w - - acn 4; acs 0; bm Bxf5# Nc5#; ce 32766; dm 1; pv Nc5#;
rrb2KRq/pppk3p/2p5/3PPp2/2PRP2B/6QB/1P3PPp/7N w - - acn 3; acs 0; bm Bxf5# e6#; ce 32766; dm 1; pv e6#;
rrR5/qp1RN3/pn1n1p2/P4Nk1/p7/p4BB1/P3P3/K5Q1 w - - acn 6; acs 0; bm Be5# Bh2# Bxd6# Qc1# Qe3#; ce 32766; dm 1; pv Bh2#;
rrQRK3/p1b2P2/p1k3nR/Bb1N1p2/p1pPN3/P1P5/8/8 w - - acn 6; acs 0; bm Nb4# Ne7# Qxc7# Rd6# Rxg6#; ce 32766; dm 1; pv Nb4#;
rrBk1b2/p3p3/3p1Pn1/2pP4/pqP2Nb1/5p2/P5PP/RN4KR b - - acn 1; acs 0; bm Qe1#; ce 32766; dm 1; pv Qe1#;
rrB5/8/3k4/3n1n1p/b4p1P/2bNp3/4q3/2K5 b - - acn 4; acs 0; bm Bd2# Qc2# Qd1# Qd2#; ce 32766; dm 1; pv Bd2#;
rrB4n/p7/8/2knR2p/1pp2N1P/1pb2P2/1q6/3K4 b - - acn 2; acs 0; bm Qc2# Qd2#; ce 32766; dm 1; pv Qc2#;
rr6/rr6/rr6/rr6/rr6/Br6/pP6/k3K2R w - - acn 3; acs 0; bm Kd2# Ke2# Kf2#; ce 32766; dm 1; pv Ke2#;
rr6/q2k3p/2p3pb/nPP2p2/p4P2/B2p2P1/PQ2p3/R1K2B2 b - - acn 1; acs 0; bm e1=Q#; ce 32766; dm 1; pv e1=Q#;
rr6/pp1k1b2/2pP4/1N5p/P1p1Np2/1Q2qP2/nRK1B2n/8 b - - acn 1; acs 0; bm Qc1#; ce 32766; dm 1; pv Qc1#;
rr6/pp1PP3/1p3Q2/1pk5/1p2B3/1P2N3/1P3B2/KR6 w - - acn 10; acs 0; bm Nc2# Nc4# Nd1# Nd5# Nf1# Nf5# Ng2# Ng4# Qe5# Rc1#; ce 32766; dm 1; pv Nc4#;
rr6/pk6/p3b1p1/P3Bp2/4nP2/4P2p/1K5P/2R4R w - - acn 1; acs 0; bm Rc7#; ce 32766; dm 1; pv Rc7#;
rn6/k2pN3/3K4/2Nn4/2p5/2P5/8/6Q1 w - - acn 1; acs 0; bm Nc8#; ce 32766; dm 1; pv Nc8#;
rn6/bpk4r/8/1Q2P2P/1PpP1P1P/P7/3Rq3/1N4KR b - - acn 1; acs 0; bm Rg7#; ce 32766; dm 1; pv Rg7#;
rn6/b7/p1P4p/k1BN1p2/r1P2P1P/1P1Q1n2/R3N3/2K2B2 w - - acn 4; acs 0; bm Bb4# Qc3# Rxa4# b4#; ce 32766; dm 1; pv b4#;
rn6/3bk1Nr/7Q/pppp1pP1/2P1PP2/q1PP3P/R4BB1/3K1N1R w - - acn 1; acs 0; bm Qf6#; ce 32766; dm 1; pv Qf6#;
rn6/3b4/p1P3k1/3P4/1R5K/2b3PP/3q4/8 b - - acn 3; acs 0; bm Bf6# Qg5# Qh6#; ce 32766; dm 1; pv Bf6#;
rn6/3b4/2pk1prp/P2p3B/3PPP1P/5K2/1N2R3/6qR b - - acn 2; acs 0; bm Qg3# Rg3#; ce 32766; dm 1; pv Rg3#;
rn6/3b2pp/p1p1pQ2/P4p1k/1pPrBP1P/3P4/3N3R/1NBK4 w - - acn 2; acs 0; bm Bf3# Qg5#; ce 32766; dm 1; pv Bf3#;
rn6/3b1k1n/pbP5/1P2p3/2P1PpPp/N4K1P/RB1r1PB1/2Q5 b - - acn 2; acs 0; bm Ng5# Rxf2#; ce 32766; dm 1; pv Ng5#;
rn6/3Q2rp/2pp2kB/4p1P1/1p2Pp2/1P3B2/PKNq1n2/R5NR w - - acn 4; acs 0; bm Bh5# Qe6# Qf5# Qxg7#; ce 32766; dm 1; pv Bh5#;
rn6/3P2B1/1p4Q1/r1k2P1p/pb1R1P1p/1PnBP3/4N1KR/8 w - - acn 2; acs 0; bm Bf8# Qd6#; ce 32766; dm 1; pv Bf8#;
rn6/3B1R2/3k4/2pP1p1p/p4P2/P1N1N1P1/3K2R1/2n5 w - - acn 1; acs 0; bm Nb5#; ce 32766; dm 1; pv Nb5#;
rn6/2rb4/2k5/pRPp1pNB/P5P1/1N6/2PB3P/1n2K1R1 w - - acn 2; acs 0; bm Nd4# Rb6#; ce 32766; dm 1; pv Nd4#;
rn6/2pp1pp1/rp2k3/3b2q1/8/8/PpPPP2P/RNBQKBNR b - - acn 1; acs 0; bm Qh4#; ce 32766; dm 1; pv Qh4#;
rn6/2pk2B1/p2b1P2/2P5/1p1p2nP/NP1b1K2/P3r1BR/R7 b - - acn 2; acs 0; bm Nxh2#; ce 32766; dm 1; pv Nxh2#;
rn6/2pb4/1pPpp1Q1/p2Bk3/1PP2pPr/1N5P/P2K4/2R3b1 w - - acn 2; acs 0; bm Qg5# Qg7#; ce 32766; dm 1; pv Qg5#;
rn6/2pR4/b1p5/K6B/1P1Np1N1/Bp4Q1/1rPk4/6R1 w - - acn 2; acs 0; bm Qe1# Qe3#; ce 32766; dm 1; pv Qe3#;
rn6/2pR4/b1p5/K6B/1P1Np1N1/Bp4Q1/1rPk4/6R1 b - - acn 7; acs 0; bm Bb5# Bb7# Bc4# Bc8# Bd3# Be2# Bf1#; ce 32766; dm 1; pv Bb7#;
rn6/2p5/p2p1Nkp/1P3pr1/2PP1B1P/P5q1/1N6/1R1R3K b - - acn 3; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
rn6/2p1r3/3kP3/pp3p2/1P5P/B4b2/1q1P4/4RKQ1 w - - acn 1; acs 0; bm Qc5#; ce 32766; dm 1; pv Qc5#;
rn6/2p1kpp1/1P1q3p/P3pK2/2NpPbP1/2BP4/1p5P/R4B1R b - - acn 5; acs 0; bm Qd7# Qe6# Qf6# Qg6# g6#; ce 32766; dm 1; pv g6#;
rn6/2n2r2/2Q1pppb/p2P3p/p4PkP/2R3P1/N3PK2/B2N1BR1 w - - acn 1; acs 0; bm Ne3#; ce 32766; dm 1; pv Ne3#;
rn6/2kb4/p1p3P1/Pp5P/1Pp1p3/B3R2p/1b2q3/NR4K1 b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
rn6/2kb2Bp/p1Q4P/K1p2pR1/P1P2P2/3Pr2N/2P4P/R7 b - - acn 1; acs 0; bm Nxc6#; ce 32766; dm 1; pv Nxc6#;
rn6/2kP1pr1/B3p3/2NQ1p2/K1p5/1P6/2R5/1bB5 w - - acn 2; acs 0; bm d8=B# d8=Q#; ce 32766; dm 1; pv d8=Q#;
rn6/2k5/p6B/Kp2P1P1/R7/1b1P2N1/4B1P1/8 b - - acn 1; acs 0; bm Nc6#; ce 32766; dm 1; pv Nc6#;
rn6/2k5/4R3/1P1b2P1/1p1p2p1/r7/1K1N4/1R1q4 b - - acn 2; acs 0; bm Qxd2# Ra2#; ce 32766; dm 1; pv Ra2#;
rn6/2k5/1pp1r2p/1n2p2P/1b2P1P1/3bRP2/8/3K3N b - - acn 1; acs 0; bm Ra1#; ce 32766; dm 1; pv Ra1#;
rn6/2k4r/3b4/3P4/q6P/4p2b/B7/6K1 b - - acn 1; acs 0; bm Qd1#; ce 32766; dm 1; pv Qd1#;
rn6/1r2pkp1/B7/8/K2p1p2/4p3/1qRbP3/1n1b4 b - - acn 11; acs 0; bm Bxc2# Qa1# Qa2# Qa3# Qb3# Qb4# Qb5# Qxc2# Rxa6#; ce 32766; dm 1; pv Bxc2#;
rn6/1r2p1p1/B7/5k2/K2p1p2/4p3/1qRbP3/1n1b4 b - - acn 11; acs 0; bm Bxc2# Qa1# Qa2# Qa3# Qb3# Qb4# Qb5# Qxc2# Rxa6#; ce 32766; dm 1; pv Bxc2#;
rn6/1r1b1P2/k2b3n/Pp1p2p1/5P2/4qR1N/P1p1B1PP/1R2K3 b - - acn 4; acs 0; bm cxb1=Q# cxb1=R#; ce 32766; dm 1; pv cxb1=Q#;
rn6/1pnk1p2/p5Pr/P1p2bP1/N1P1P3/6K1/3q4/1N2R3 b - - acn 1; acs 0; bm Rh3#; ce 32766; dm 1; pv Rh3#;
rn6/1pkb2Q1/p2pp1q1/1Pb3PR/P4B2/2p1P3/R1Pp3P/1N1K4 b - - acn 1; acs 0; bm Qxh5#; ce 32766; dm 1; pv Qxh5#;
rn6/1p6/b2kp1pR/P7/8/4ppp1/1pP5/3K4 b - - acn 2; acs 0; bm b1=Q# b1=R#; ce 32766; dm 1; pv b1=Q#;
rn6/1p6/1R2n1Rp/2k4P/b1N5/2P1p3/5r1B/4K1n1 b - - acn 1; acs 0; bm Nf3#; ce 32766; dm 1; pv Nf3#;
rn6/1p6/1PQ3Pk/7p/1b1qp1bP/5R1B/4K3/1r6 b - - acn 4; acs 0; bm Bxf3# Qd2# Re1#; ce 32766; dm 1; pv Bxf3#;
rn6/1p4k1/p1pq1np1/5r1P/7R/1Bb1K1P1/8/8 b - - acn 1; acs 0; bm Qd2#; ce 32766; dm 1; pv Qd2#;
rn6/1p4k1/3N1rp1/p1pBp3/PPPP1pp1/4PP1Q/3K4/R1B3NR w - - acn 2; acs 0; bm Qh6# Qh8#; ce 32766; dm 1; pv Qh8#;
rn6/1p3r2/p2B1p2/Pk1p4/6Pp/R1QKP2N/7P/1NR2B2 w - - acn 7; acs 0; bm Kc2# Kd2# Kd4# Qb2# Qb3# Qb4# Qc5#; ce 32766; dm 1; pv Qc5#;
rn6/1p3N1k/7P/2p2p2/2P1bP2/1p6/q3P3/2K3R1 w - - acn 1; acs 0; bm Rg7#; ce 32766; dm 1; pv Rg7#;
rn6/1p1q4/pP2B3/P1P4k/b7/4QN1K/4P3/8 w - - acn 1; acs 0; bm Qg5#; ce 32766; dm 1; pv Qg5#;
rn6/1p1Q2bk/4p3/p1P4p/P1P5/2P4r/3R1K1P/1N3BR1 w - - acn 1; acs 0; bm Qxg7#; ce 32766; dm 1; pv Qxg7#;
